排名,分类,书名,周点击,作者,更新时间,等级,链接,性质,总点击,月点击,周点击,总推荐,月推荐,周推荐,字数
1326,都市生活,风骚重生传,787,橘子奏鸣曲,2014-08-20 21:03, 作家等级：LV3 ,http://www.qidian.com/Book/2335708.aspx,         VIP作品 ,2345367,15015,2221,101413,101413,101413,8841862
1327,传统武侠,你死我活玄武记,787,碎石,2014-08-20 22:01,No Level,http://www.qidian.com/Book/3206974.aspx,公众作品,31784,13204,5027,1965,1965,1965,303404
1328,游戏异界,天国的水晶宫,786, 流血的星辰a ,2014-08-19 19:26, 作家等级：LV1 ,http://www.qidian.com/Book/2587754.aspx,         VIP作品 ,612554,5244,931,32465,32465,32465,1338436
1329,娱乐明星,韩之商娱王,785,飘伤蓝闲人,2014-08-19 22:43,No Level,http://www.qidian.com/Book/3114443.aspx,公众作品,42376,5295,785,784,784,784,500467
1330,足球运动,中华勇夺世界杯,784,长庆二年,2014-08-19 23:58,No Level,http://www.qidian.com/Book/3195673.aspx,公众作品,20540,5227,533,3635,3635,3635,371825
1331,时空穿梭,幻想世界养殖者,783,虚幻漫步,2014-08-20 17:21,No Level,http://www.qidian.com/Book/3158612.aspx,         VIP作品 ,108132,20066,1401,5586,5586,5586,826261
1332,都市生活,重生之大土豪,783,酎,2014-08-20 20:26,No Level,http://www.qidian.com/Book/3235890.aspx,公众作品,43389,42731,654,8002,8002,8002,193842
1333,娱乐明星,全娱天王,781,狐狸楠,2014-08-20 18:04,No Level,http://www.qidian.com/Book/3052129.aspx,         VIP作品 ,538203,17036,2326,18718,18718,18718,1408105
1334,异界大陆,传奇刺客的学院日常,780,作死圣手,2014-08-15 19:16,No Level,http://www.qidian.com/Book/3202016.aspx,公众作品,59711,25822,911,1932,1932,1932,256059
1335,游戏异界,数据修炼系统,779,独翼客,2014-08-20 21:29,No Level,http://www.qidian.com/Book/2947800.aspx,         VIP作品 ,478442,19565,1721,11649,11649,11649,2108465
1336,异术超能,重生之大地主传奇,778,宝宝他爹,2014-08-20 13:15, 作家等级：LV1 ,http://www.qidian.com/Book/2636193.aspx,         VIP作品 ,659318,20447,2374,7838,7838,7838,2317912
1337,时空穿梭,穿梭时空的恶魔,777,追梦的斑马,2014-08-18 19:37, 作家等级：LV1 ,http://www.qidian.com/Book/2793420.aspx,公众作品,395463,3412,697,14977,14977,14977,779188
1338,虚拟网游,网游之技能窃取者,777,半世浮华,2014-08-18 22:12,No Level,http://www.qidian.com/Book/3124321.aspx,         VIP作品 ,253657,12924,3556,8754,8754,8754,785015
1339,外国历史,雷帝卡努特,775,杜克血蝎,2014-08-20 15:35, 作家等级：LV1 ,http://www.qidian.com/Book/2940648.aspx,公众作品,81182,4088,691,10671,10671,10671,1099318
1340,异术超能,都市灵仙,775,老鹰吃小鸡,2014-08-20 21:53, 作家等级：LV2 ,http://www.qidian.com/Book/3092967.aspx,         VIP作品 ,500193,23180,1360,12893,12893,12893,1100489
1341,游戏异界,虫族帝国,774,总督军,2014-08-20 20:04, 作家等级：LV1 ,http://www.qidian.com/Book/2723616.aspx,         VIP作品 ,737414,17997,1775,31419,31419,31419,1534383
1342,异界大陆,武傲乾坤,774,我爱黄花白,2014-08-20 20:09, 作家等级：LV1 ,http://www.qidian.com/Book/3028386.aspx,         VIP作品 ,85252,8615,3188,800,800,800,1459002
1343,校园异能,超级时空系统,774,小屁股,2014-08-20 00:21, 作家等级：LV1 ,http://www.qidian.com/Book/3116446.aspx,         VIP作品 ,132420,10358,2118,2349,2349,2349,933868
1344,星际战争,小兵传奇,770,玄雨,2013-07-01 12:49, 作家等级：LV6 ,http://www.qidian.com/Book/501.aspx,         VIP作品 ,25335702,11025,1716,4384251,4384251,4384251,2068635
1345,动漫同人,某英灵的暗杀娘,770,野生的空格君,2014-08-18 22:54,No Level,http://www.qidian.com/Book/2292128.aspx,公众作品,358528,1238,535,18103,18103,18103,274956
1346,西方奇幻,露玖与兽耳与少女,770,宇宙暴虐二头肌,2014-08-20 14:38, 作家等级：LV1 ,http://www.qidian.com/Book/2774873.aspx,         VIP作品 ,100785,4543,1469,2798,2798,2798,534263
1347,架空历史,崛起之新帝国时代,770,银刀驸马,2014-08-20 21:30, 作家等级：LV2 ,http://www.qidian.com/Book/3210141.aspx,公众作品,22430,3900,410,3455,3455,3455,299088
1348,魔法校园,智能主脑的异世之旅,770,久久笛音,2014-08-19 23:42,No Level,http://www.qidian.com/Book/3111681.aspx,公众作品,34667,5665,831,965,965,965,448392
1349,两宋元明,官居一品,769,三戒大师,2012-06-30 20:45,No Level,http://www.qidian.com/Book/1343635.aspx,         VIP作品 ,15216691,12985,1766,1172523,1172523,1172523,5758995
1350,奇幻修真,匪途,769,土豆烧鸭,2014-08-20 18:19,No Level,http://www.qidian.com/Book/3224084.aspx,公众作品,5702,4308,2683,196,196,196,256737
1351,动漫同人,笨蛋测试召唤英雄联盟,768,姐姐的新娘,2014-08-20 22:29, 作家等级：LV2 ,http://www.qidian.com/Book/2761416.aspx,公众作品,125864,3343,732,2676,2676,2676,176917
1352,架空历史,极品小郡王,768,一语不语,2014-08-19 23:47, 作家等级：LV1 ,http://www.qidian.com/Book/3190059.aspx,公众作品,73676,6245,496,1889,1889,1889,286180
1353,清史民国,第三极崛起,766,青木双翼,2014-08-20 12:31,No Level,http://www.qidian.com/Book/3116684.aspx,公众作品,70523,10171,1420,2348,2348,2348,675780
1354,虚拟网游,网游之重返大航海,766,十七生,2014-08-20 18:06,No Level,http://www.qidian.com/Book/3260973.aspx,公众作品,1419,1419,851,96,96,96,60147
1355,古典仙侠,无道天途,766,书寒,2014-08-20 20:36, 作家等级：LV1 ,http://www.qidian.com/Book/2495999.aspx,         VIP作品 ,263138,13487,3216,3563,3563,3563,3960498
1356,动漫同人,灵魂在路西法那的日子,766,雨过是否天晴,2014-08-20 21:17,No Level,http://www.qidian.com/Book/3253151.aspx,公众作品,3345,3345,832,161,161,161,67400
1357,影视同人,终极之吾欲逍遥,765,逍遥龙剑魂,2014-08-20 00:10,No Level,http://www.qidian.com/Book/3226782.aspx,公众作品,27333,14456,2161,589,589,589,111575
1358,奇幻修真,蛊真人,764,蛊真人,2014-08-20 20:04, 作家等级：LV3 ,http://www.qidian.com/Book/2527417.aspx,         VIP作品 ,2698157,15089,1986,303381,303381,303381,1961511
1359,未来世界,星河大时代,764,石径荒芜,2014-08-20 19:06, 作家等级：LV2 ,http://www.qidian.com/Book/2546834.aspx,         VIP作品 ,735919,15290,1304,12468,12468,12468,3495448
1360,领主贵族,异界之拜见女王大人,764,白乐天,2014-08-20 17:00,No Level,http://www.qidian.com/Book/3244217.aspx,公众作品,3974,3632,813,60,60,60,127707
1361,东方玄幻,无上刀锋,764,愤怒烟圈,2014-08-20 17:17,No Level,http://www.qidian.com/Book/3170623.aspx,         VIP作品 ,86246,10486,3242,4751,4751,4751,480242
1362,古典仙侠,永生无罪,763,大秦骑兵,2014-08-20 22:08, 作家等级：LV3 ,http://www.qidian.com/Book/3096759.aspx,公众作品,75233,4963,693,8769,8769,8769,672105
1363,电子竞技,英雄联盟之世界之王,763,皇甫志,2014-08-19 20:28,No Level,http://www.qidian.com/Book/3212925.aspx,公众作品,12093,4807,695,191,191,191,188900
1364,游戏异界,最强穿越之鬼剑士异世纵横,762,诠奇,2014-08-20 18:13,No Level,http://www.qidian.com/Book/3177154.aspx,公众作品,101985,16717,1306,1545,1545,1545,554398
1365,篮球运动,篮坛神话,762,琦文可舞,2014-08-20 18:34,No Level,http://www.qidian.com/Book/3218386.aspx,公众作品,17900,9769,757,434,434,434,270073
1366,时空穿梭,某科学的机器猫,761,冬想,2014-08-19 19:27,No Level,http://www.qidian.com/Book/3109915.aspx,公众作品,49974,5867,784,3345,3345,3345,586750
1367,超级科技,文明的征途,760,凉宫春日未婚夫,2014-08-20 19:26,No Level,http://www.qidian.com/Book/3066385.aspx,公众作品,16631,3257,541,2995,2995,2995,473108
1368,动漫同人,神奇宝贝之歧途,759,子迷,2014-08-19 10:49,No Level,http://www.qidian.com/Book/1109003.aspx,公众作品,136179,3482,1123,6959,6959,6959,1151556
1369,时空穿梭,恐慌沸腾,758,相思洗红豆,2013-12-10 10:18, 作家等级：LV4 ,http://www.qidian.com/Book/2078504.aspx,         VIP作品 ,5927147,12288,1717,344486,344486,344486,5004712
1370,东方玄幻,万道神尊,756,无为秀才,2014-08-19 22:19, 作家等级：LV1 ,http://www.qidian.com/Book/2999185.aspx,         VIP作品 ,351577,19842,2110,12009,12009,12009,1811189
1371,两宋元明,琉明,756,梦难成,2014-08-20 21:03, 作家等级：LV1 ,http://www.qidian.com/Book/3239116.aspx,公众作品,4292,3902,1770,121,121,121,198132
1372,异界大陆,猎国,755,跳舞,2013-03-21 23:08, 作家等级：LV7 ,http://www.qidian.com/Book/1421335.aspx,         VIP作品 ,35000456,8872,1386,2809848,2809848,2809848,3578875
1373,洪荒封神,洪荒之狮祖,755,物换星移,2014-08-20 22:22, 作家等级：LV1 ,http://www.qidian.com/Book/3010794.aspx,         VIP作品 ,593522,19827,4033,8809,8809,8809,1770480
1374,上古先秦,重生战国之魏武大帝,754,战国之武,2014-08-20 16:05,No Level,http://www.qidian.com/Book/3236526.aspx,公众作品,21465,17625,2468,591,591,591,138106
1375,都市生活,窥视未来,753,李家大儿,2014-08-20 17:06, 作家等级：LV2 ,http://www.qidian.com/Book/3074341.aspx,         VIP作品 ,116122,5978,1826,4525,4525,4525,831253
1376,东方玄幻,巅界,751,日薄西山,2014-08-19 22:32,No Level,http://www.qidian.com/Book/3239343.aspx,公众作品,21678,21607,5363,1512,1512,1512,52502
1377,清史民国,唯我独裁,750,巡洋舰,2014-06-30 15:37, 作家等级：LV2 ,http://www.qidian.com/Book/2143604.aspx,         VIP作品 ,2544354,5963,734,61720,61720,61720,3241056
1378,西方奇幻,心猎王权,750,银灰冰霜,2014-08-19 23:59, 作家等级：LV2 ,http://www.qidian.com/Book/2268766.aspx,         VIP作品 ,1027631,11064,1206,224656,224656,224656,4498500
1379,动漫同人,某重生的芙兰达,750,古桐人,2014-08-19 17:25,No Level,http://www.qidian.com/Book/3108245.aspx,公众作品,15372,2634,340,800,800,800,140339
1380,都市生活,反转人生,749,落寞的蚂蚁,2014-08-20 19:21, 作家等级：LV3 ,http://www.qidian.com/Book/2650211.aspx,         VIP作品 ,1169310,12587,1786,60562,60562,60562,3797729
1381,现代修真,地球最后一个修仙者,749, 天道1983 ,2014-08-09 16:19, 作家等级：LV3 ,http://www.qidian.com/Book/2440394.aspx,         VIP作品 ,2491809,27261,3004,82859,82859,82859,3418453
1382,虚拟网游,网游之小林传奇,748,是否可以留下,2014-08-20 15:18,No Level,http://www.qidian.com/Book/2887581.aspx,         VIP作品 ,169067,15777,1636,17680,17680,17680,1793636
1383,动漫同人,斩赤红之瞳,748,远坂凛的黑丝袜,2014-08-20 10:22,No Level,http://www.qidian.com/Book/3254896.aspx,公众作品,6441,6441,1457,113,113,113,40605
1384,西方奇幻,妄想西游记,747,司徒雷锋,2014-08-17 18:38,No Level,http://www.qidian.com/Book/2547939.aspx,公众作品,123626,2225,326,29241,29241,29241,779900
1385,异界大陆,异世无冕邪皇,746, 半块铜板(书坊) ,2014-08-20 08:07,No Level,http://www.qidian.com/Book/3198783.aspx,         VIP作品 ,18669,8635,1707,63,63,63,3721399
1386,游戏异界,英雄联盟之超神召唤师,745,白色的橙子,2014-08-20 11:23,No Level,http://www.qidian.com/Book/3249991.aspx,公众作品,4552,4542,1162,142,142,142,184933
1387,异术超能,超级拍卖行,745,玉米熊,2014-08-20 22:31, 作家等级：LV3 ,http://www.qidian.com/Book/2497018.aspx,         VIP作品 ,2058500,13848,2001,78452,78452,78452,2941862
1388,都市生活,游钓天下,745,萨瓦斯托波尔,2014-08-20 18:01, 作家等级：LV1 ,http://www.qidian.com/Book/3055042.aspx,         VIP作品 ,213813,15028,1521,25243,25243,25243,1511973
1389,异术超能,都市外星人,745,剑刃舞者,2014-08-20 16:35,No Level,http://www.qidian.com/Book/3265611.aspx,公众作品,417,417,381,287,287,287,31716
1390,动漫同人,火影之闪光,744, o花开无月o ,2014-06-13 19:26, 作家等级：LV2 ,http://www.qidian.com/Book/2078347.aspx,公众作品,9055552,24293,4991,227889,227889,227889,2603722
1391,小说同人,从斗破到主宰的纳兰,743,十九秋分,2014-08-19 18:17,No Level,http://www.qidian.com/Book/3114724.aspx,公众作品,83563,6935,926,2216,2216,2216,494719
1392,虚拟网游,独闯天涯,743,蝴蝶蓝,2012-03-30 12:19, 作家等级：LV6 ,http://www.qidian.com/Book/24857.aspx,         VIP作品 ,7034045,6630,974,647793,647793,647793,1577792
1393,两宋元明,宋王,742,尹三问,2014-08-06 18:32, 作家等级：LV2 ,http://www.qidian.com/Book/2779441.aspx,         VIP作品 ,1145602,19519,2566,38201,38201,38201,2377648
1394,动漫同人,海贼王之草帽铸造师,742,崔耿子,2014-08-20 17:41,No Level,http://www.qidian.com/Book/2527186.aspx,公众作品,501966,15734,2208,8114,8114,8114,759414
1395,洪荒封神,永恒人界,742,奉天一品鲜,2014-08-20 01:28,No Level,http://www.qidian.com/Book/3112185.aspx,公众作品,87192,12068,1324,2281,2281,2281,300744
1396,异术超能,梦幻兑换系统,742,墨梦尘,2014-08-19 23:34, 作家等级：LV2 ,http://www.qidian.com/Book/2590638.aspx,         VIP作品 ,1668313,25792,2364,65584,65584,65584,2912538
1397,奇幻修真,圣堂,741,骷髅精灵,2013-10-02 13:26, 作家等级：LV7 ,http://www.qidian.com/Book/2336338.aspx,         VIP作品 ,20736983,13700,2067,1611313,1611313,1611313,2715070
1398,娱乐明星,冒牌天王,741,爱情经纬线,2014-08-20 07:23,No Level,http://www.qidian.com/Book/3240900.aspx,公众作品,2680,2670,558,199,199,199,137279
1399,时空穿梭,无限作死,741,虎皮猫大人,2014-08-13 00:34, 作家等级：LV2 ,http://www.qidian.com/Book/2982835.aspx,         VIP作品 ,1114205,10182,1690,69454,69454,69454,643664
1400,东方玄幻,武神,741,苍天白鹤,2011-01-13 11:14, 作家等级：LV7 ,http://www.qidian.com/Book/1445033.aspx,         VIP作品 ,33676502,19262,2942,2269206,2269206,2269206,4791785
1401,时空穿梭,原初进化,740,星空永寂,2014-08-19 15:48,No Level,http://www.qidian.com/Book/3208614.aspx,公众作品,29387,10000,875,2461,2461,2461,236758
1402,两晋隋唐,大唐君羡,740,二炮大队,2014-08-20 21:02,No Level,http://www.qidian.com/Book/3136373.aspx,         VIP作品 ,197776,9919,1826,2682,2682,2682,698448
1403,都市生活,漫画大师之路,740,不存在的记忆,2014-08-19 23:13,No Level,http://www.qidian.com/Book/3160696.aspx,公众作品,24924,3586,370,1147,1147,1147,255435
1404,娱乐明星,大娱乐家,738,高大的豆丁,2014-08-19 23:02, 作家等级：LV2 ,http://www.qidian.com/Book/2071487.aspx,         VIP作品 ,1914793,15234,1870,43411,43411,43411,5911138
1405,虚拟网游,天生符咒师,738,虎跑梦泉,2014-08-20 22:16,No Level,http://www.qidian.com/Book/3208409.aspx,公众作品,25318,10825,444,722,722,722,207704
1406,异界大陆,斗罗大陆,736,唐家三少,2012-11-12 10:20, 作家等级：LV8 ,http://www.qidian.com/Book/1115277.aspx,         VIP作品 ,62019073,112227,16346,5691018,5691018,5691018,3031114
1407,乡土小说,随身带着如意扇,736,南州十一郎,2014-08-20 17:50, 作家等级：LV2 ,http://www.qidian.com/Book/2535052.aspx,         VIP作品 ,1356054,7799,2523,44161,44161,44161,1190770
1408,时空穿梭,最终救赎,736,诸生浮屠,2014-07-12 10:10, 作家等级：LV3 ,http://www.qidian.com/Book/2290982.aspx,         VIP作品 ,3214810,14335,1958,328417,328417,328417,2400108
1409,两宋元明,明末风雨,735, 清泉2010南京 ,2014-08-20 08:09,No Level,http://www.qidian.com/Book/3192152.aspx,公众作品,60306,5025,654,2083,2083,2083,325417
1410,虚拟网游,如果在游戏里登录游戏的话,735,远古橙子,2014-08-18 15:06, 作家等级：LV1 ,http://www.qidian.com/Book/2505552.aspx,公众作品,291266,4480,640,17998,17998,17998,384024
1411,都市生活,超级创作大师,735,普顿,2014-08-20 20:34,No Level,http://www.qidian.com/Book/3067546.aspx,         VIP作品 ,403213,9714,1207,15160,15160,15160,1550389
1412,两晋隋唐,满唐春,734,炮兵,2014-07-29 16:14, 作家等级：LV3 ,http://www.qidian.com/Book/2653586.aspx,         VIP作品 ,1558712,17511,2414,72457,72457,72457,3265832
1413,未来世界,未来世界超级星联网络,733,秒速九光年,2014-08-20 20:35, 作家等级：LV3 ,http://www.qidian.com/Book/3094545.aspx,         VIP作品 ,2139673,14214,1437,96076,96076,96076,1246587
1414,娱乐明星,强制读档,733,夏下夏雨,2014-08-19 20:32,No Level,http://www.qidian.com/Book/3221222.aspx,公众作品,3984,2367,424,420,420,420,77480
1415,末世危机,不可思议的末日,733,姐姐的新娘,2014-08-08 11:43, 作家等级：LV2 ,http://www.qidian.com/Book/3069569.aspx,         VIP作品 ,438785,6852,1184,23705,23705,23705,740700
1416,现实百态,重生之少女达芬奇,733,没心没肺的笑,2014-08-20 16:37,No Level,http://www.qidian.com/Book/3181120.aspx,公众作品,7723,2896,462,686,686,686,245378
1417,异界大陆,兽血沸腾,732,静官,2008-05-02 14:15, 作家等级：LV2 ,http://www.qidian.com/Book/45050.aspx,,,,,,,,
1418,两宋元明,明末边军一小兵,731,老白牛,2014-05-27 23:34, 作家等级：LV4 ,http://www.qidian.com/Book/1630599.aspx,         VIP作品 ,6418197,14578,2318,411071,411071,411071,3084124
1419,两宋元明,北明,731,姐姐不要停啊,2014-08-19 23:40,No Level,http://www.qidian.com/Book/3250443.aspx,公众作品,3750,3747,2320,89,89,89,62145
1420,小说同人,斗破之纳兰,731,灼眼的狐狸,2014-08-20 17:38,No Level,http://www.qidian.com/Book/3197272.aspx,公众作品,25719,7578,913,1710,1710,1710,522776
1421,星际战争,全球警戒之新帝国的诞生,731,大刀老猿,2014-08-15 00:01, 作家等级：LV3 ,http://www.qidian.com/Book/3004438.aspx,         VIP作品 ,416066,3498,658,24569,24569,24569,916393
1422,异术超能,化灵修真记,730,蜀当归,2014-08-20 16:55,No Level,http://www.qidian.com/Book/3243915.aspx,公众作品,12314,12003,3306,837,837,837,174274
1423,未来世界,打爆星球,730,风少羽,2014-08-19 18:01, 作家等级：LV4 ,http://www.qidian.com/Book/3170563.aspx,         VIP作品 ,302652,12763,1162,14101,14101,14101,712519
1424,时空穿梭,无限之升级系统,730,东东是个胆小鬼,2014-08-20 19:32, 作家等级：LV1 ,http://www.qidian.com/Book/2719228.aspx,         VIP作品 ,782979,24644,2013,14200,14200,14200,2424041
1425,末世危机,末世刺客系统,730,糖醋于,2014-08-20 20:47,No Level,http://www.qidian.com/Book/3006581.aspx,         VIP作品 ,284165,11739,1802,10468,10468,10468,979500
1426,奇幻修真,浩劫重修,729,云鹤真人,2014-08-19 23:56, 作家等级：LV4 ,http://www.qidian.com/Book/3121568.aspx,         VIP作品 ,282376,11558,838,15969,15969,15969,580017
1427,异术超能,超能邪尊,727,琉璃明镜,2014-08-20 18:33, 作家等级：LV1 ,http://www.qidian.com/Book/3199534.aspx,公众作品,92063,27157,4869,4823,4823,4823,282028
1428,游戏异界,魔鬼治安官系统,727, 财神3号 ,2014-08-20 16:31,No Level,http://www.qidian.com/Book/3231855.aspx,公众作品,11751,10135,1144,160,160,160,124328
1429,现代修真,我成了防御法宝,726,小豹子,2014-08-19 20:07,No Level,http://www.qidian.com/Book/3141035.aspx,         VIP作品 ,412918,22274,1351,20946,20946,20946,518594
1430,古武机甲,机动风暴,726,骷髅精灵,2012-03-30 12:15, 作家等级：LV7 ,http://www.qidian.com/Book/1049449.aspx,         VIP作品 ,18207767,10333,1350,1754190,1754190,1754190,2882490
1431,动漫同人,棒球英豪之青春,726,风灯夜归人,2014-08-20 22:12,No Level,http://www.qidian.com/Book/3257644.aspx,公众作品,3337,3337,997,676,676,676,31586
1432,动漫同人,某隙间的异界穿越,726,賞月,2014-08-20 10:39,No Level,http://www.qidian.com/Book/2454063.aspx,公众作品,209754,3620,570,3401,3401,3401,237004
1433,洪荒封神,西游之火云真仙,724,白蔷薇之夏天,2014-08-20 17:56,No Level,http://www.qidian.com/Book/3064155.aspx,         VIP作品 ,323004,16940,3040,5896,5896,5896,1431366
1434,乡土小说,高山牧场,724,醛石,2014-03-16 16:59, 作家等级：LV3 ,http://www.qidian.com/Book/2486601.aspx,         VIP作品 ,2412685,7180,1214,251843,251843,251843,2002585
1435,东方玄幻,唯我巅峰,723,雾外江山,2013-07-11 14:31, 作家等级：LV5 ,http://www.qidian.com/Book/1908865.aspx,         VIP作品 ,3455042,3200,415,161984,161984,161984,1748967
1436,校园异能,我知将死,723,何事公,2014-08-05 20:37, 作家等级：LV2 ,http://www.qidian.com/Book/3164265.aspx,公众作品,46801,6612,596,22934,22934,22934,262769
1437,两宋元明,大明王侯,722,贼眉鼠眼,2012-11-01 19:21, 作家等级：LV5 ,http://www.qidian.com/Book/1737519.aspx,         VIP作品 ,3419000,9807,4792,119976,119976,119976,1554981
1438,秦汉三国,非典型汉末,722,无心枫,2014-08-20 07:35, 作家等级：LV1 ,http://www.qidian.com/Book/3238815.aspx,公众作品,3337,2896,1805,2622,2622,2622,113607
1439,乡土小说,道田,719,云中谁寄,2014-08-20 16:12, 作家等级：LV1 ,http://www.qidian.com/Book/2836950.aspx,         VIP作品 ,450415,11699,1577,23678,23678,23678,1222060
1440,时空穿梭,盗运成圣,719,金钱到家,2014-08-20 22:21,No Level,http://www.qidian.com/Book/3046535.aspx,         VIP作品 ,694371,20403,1900,30054,30054,30054,1759176
1441,洪荒封神,非凡洪荒,717,我自非凡,2014-08-19 23:53, 作家等级：LV2 ,http://www.qidian.com/Book/1633358.aspx,         VIP作品 ,2296111,12719,1245,64665,64665,64665,6271686
1442,武侠同人,大唐风后,717,离诡,2014-08-20 22:17,No Level,http://www.qidian.com/Book/1966025.aspx,         VIP作品 ,311940,7063,1200,8920,8920,8920,810467
1443,东方玄幻,超级玄师系统,717,鼎定九天,2014-08-20 21:54,No Level,http://www.qidian.com/Book/3160876.aspx,公众作品,79684,6977,1209,1900,1900,1900,518811
1444,西方奇幻,阿尔比昂年代记,716,俺是俗人,2014-08-20 18:12,No Level,http://www.qidian.com/Book/3048149.aspx,公众作品,42677,1614,248,4343,4343,4343,745918
1445,动漫同人,海贼王之画道大师,715,帝倾天羽,2014-08-19 23:21,No Level,http://www.qidian.com/Book/3188429.aspx,公众作品,20797,7934,1561,230,230,230,287412
1446,娱乐明星,打造电影教父,714,万乘北宸,2014-08-20 19:57, 作家等级：LV2 ,http://www.qidian.com/Book/2721145.aspx,         VIP作品 ,914371,13359,1727,58350,58350,58350,2444013
1447,异术超能,都市抽奖高手,713,末日镰刀,2014-08-19 23:39,No Level,http://www.qidian.com/Book/3105011.aspx,         VIP作品 ,378166,37205,1604,10948,10948,10948,743053
1448,异术超能,生肖守护神,713,唐家三少,2012-11-12 10:21, 作家等级：LV8 ,http://www.qidian.com/Book/101839.aspx,         VIP作品 ,18565648,9959,1487,2973386,2973386,2973386,3047091
1449,洪荒封神,上古圣猿在西游,713,天堂在左我向右,2014-08-20 21:04,No Level,http://www.qidian.com/Book/3146782.aspx,         VIP作品 ,135106,30964,1876,487,487,487,584027
1450,领主贵族,权国,711,爱吃大包子,2014-08-19 22:47, 作家等级：LV2 ,http://www.qidian.com/Book/1429072.aspx,         VIP作品 ,1332370,10534,1922,53281,53281,53281,6460130
1451,乡土小说,梦里桃源,711,小宇柔,2014-05-01 12:24,No Level,http://www.qidian.com/Book/3033356.aspx,         VIP作品 ,750899,13327,2508,22998,22998,22998,1521225
1452,动漫同人,某宅的无限世界,709, 某位宅男MK2 ,2014-08-19 08:47,No Level,http://www.qidian.com/Book/2884118.aspx,公众作品,19462,541,392,1023,1023,1023,71695
1453,西方奇幻,炎之魔女的守序信仰,709,椎鸢音,2014-08-20 00:33,No Level,http://www.qidian.com/Book/3172164.aspx,公众作品,14148,2513,338,1680,1680,1680,296316
1454,娱乐明星,全球偶像,708,龙要南瓜,2014-08-17 21:36,No Level,http://www.qidian.com/Book/2828780.aspx,公众作品,283428,6308,977,7036,7036,7036,403593
1455,奇幻修真,大魔,708,汉隶,2014-08-18 14:49, 作家等级：LV2 ,http://www.qidian.com/Book/3111419.aspx,         VIP作品 ,307517,11372,1913,19349,19349,19349,596424
1456,末世危机,末日之火影系统,707,羽仙紫麟,2014-08-20 22:02,No Level,http://www.qidian.com/Book/3120920.aspx,         VIP作品 ,70164,11555,2273,1182,1182,1182,938346
1457,异界大陆,位面养殖专家,706,呼延乱语,2014-08-20 18:03,No Level,http://www.qidian.com/Book/3179544.aspx,         VIP作品 ,37225,8874,1917,1393,1393,1393,511852
1458,娱乐明星,韩娱夏恋,706,夕小白,2014-08-19 00:53,No Level,http://www.qidian.com/Book/3134911.aspx,公众作品,44786,5423,758,3707,3707,3707,315617
1459,动漫同人,娘化火影,705,菲袅,2014-08-19 23:26,No Level,http://www.qidian.com/Book/3106984.aspx,公众作品,58566,5418,728,2516,2516,2516,342837
1460,异界大陆,神级全职系统,704,东神少柿天,2014-08-19 21:16,No Level,http://www.qidian.com/Book/3155925.aspx,         VIP作品 ,280100,10168,1421,14439,14439,14439,588003
1461,时空穿梭,动漫默示录,704,被狙击的魔王,2014-07-23 09:24,No Level,http://www.qidian.com/Book/3056741.aspx,         VIP作品 ,201397,7172,1716,2285,2285,2285,1511061
1462,娱乐明星,重生之粉色韩娱,704,黑黑的书呆子,2014-08-20 21:22, 作家等级：LV1 ,http://www.qidian.com/Book/3060945.aspx,         VIP作品 ,237572,11353,1339,17106,17106,17106,1690264
1463,现代修真,西游之游戏封圣,703,流秋寸风,2014-08-20 21:27,No Level,http://www.qidian.com/Book/3261006.aspx,公众作品,4315,4315,1917,34,34,34,62384
1464,动漫同人,猫之物语,702,琉璃绝迹,2014-08-20 22:02,No Level,http://www.qidian.com/Book/3218630.aspx,公众作品,4687,3938,846,519,519,519,222162
1465,西方奇幻,魔导战记,702,赵延年,2014-08-20 17:48, 作家等级：LV2 ,http://www.qidian.com/Book/3150989.aspx,公众作品,15265,1899,259,2762,2762,2762,497399
1466,洪荒封神,小小僵尸闹洪荒,700, 虎笑天MJ ,2014-08-20 20:33,No Level,http://www.qidian.com/Book/3004400.aspx,         VIP作品 ,180546,10519,3244,1116,1116,1116,484983
1467,两宋元明,冒牌知县,700,沐轶,2014-01-01 19:19, 作家等级：LV4 ,http://www.qidian.com/Book/2525567.aspx,         VIP作品 ,1861468,5511,2746,96040,96040,96040,2080825
1468,娱乐明星,社长天下,700,风雪天心,2014-08-20 21:00, 作家等级：LV2 ,http://www.qidian.com/Book/2791032.aspx,         VIP作品 ,600814,10832,1580,53053,53053,53053,3418037
1469,娱乐明星,韩娱之实力偶像,699, Michi微白 ,2014-08-19 20:34,No Level,http://www.qidian.com/Book/2729656.aspx,公众作品,138299,6410,791,2943,2943,2943,623546
1470,娱乐明星,掌控舞台,697,少陵成风,2014-08-19 01:38,No Level,http://www.qidian.com/Book/2398562.aspx,公众作品,983858,6287,938,23025,23025,23025,1310351
1471,都市生活,人间府主,697,青录,2014-08-18 21:50, 作家等级：LV2 ,http://www.qidian.com/Book/3165567.aspx,公众作品,51861,5261,566,5187,5187,5187,290411
1472,影视同人,重生在古剑奇谭,697,灵乡,2014-08-20 09:17,No Level,http://www.qidian.com/Book/3239876.aspx,公众作品,31225,19034,2467,312,312,312,116189
1473,篮球运动,第一中锋,697,双烟囱,2014-08-19 23:31,No Level,http://www.qidian.com/Book/3147091.aspx,         VIP作品 ,194023,10138,1638,10347,10347,10347,496546
