排名,分类,书名,周点击,作者,更新时间,等级,链接,性质,总点击,月点击,周点击,总推荐,月推荐,周推荐,字数
34,时空穿梭,次元钓客,18613,皿目,2014-08-20 02:39,No Level,http://www.qidian.com/Book/3148167.aspx,公众作品,184601,56117,24513,13931,13931,13931,508493
35,未来世界,未来至尊,18464,夜色,2014-08-20 12:24,No Level,http://www.qidian.com/Book/3251951.aspx,公众作品,36721,36721,23373,6370,6370,6370,105909
36,时空穿梭,进击在电影世界,17841,小陀螺,2014-08-20 17:31,No Level,http://www.qidian.com/Book/3210898.aspx,公众作品,189281,108364,25918,4354,4354,4354,206314
37,游戏异界,异界的悠闲生活,17736,黑暗骑士殿,2014-08-20 18:39, 作家等级：LV1 ,http://www.qidian.com/Book/3200424.aspx,公众作品,203590,121820,30931,6454,6454,6454,260045
38,东方玄幻,神级兽能,17720,拉丁鱼,2014-08-20 09:31,No Level,http://www.qidian.com/Book/3253431.aspx,公众作品,64729,64729,21539,13861,13861,13861,120736
39,东方玄幻,玄门隐士,17717,鬼谷笑笑生,2014-08-20 01:02,No Level,http://www.qidian.com/Book/3236055.aspx,公众作品,80400,80204,20551,21464,21464,21464,178083
40,都市生活,修真英格兰,17576,幽篁独坐,2014-08-19 19:07,No Level,http://www.qidian.com/Book/3218979.aspx,公众作品,297993,225818,19530,13990,13990,13990,276942
41,东方玄幻,绝世剑祖,17574,青椒炒玉米,2014-08-20 08:52,No Level,http://www.qidian.com/Book/3244582.aspx,公众作品,41200,40912,26452,6360,6360,6360,149240
42,东方玄幻,完美世界,17564,辰东,2014-08-20 01:03, 作家等级：LV7 ,http://www.qidian.com/Book/2952453.aspx,         VIP作品 ,20547823,673566,79600,2496949,2496949,2496949,2728778
43,东方玄幻,儒道至圣,17523,永恒之火,2014-08-19 23:40,No Level,http://www.qidian.com/Book/3173393.aspx,         VIP作品 ,2402112,281046,43140,482341,482341,482341,689471
44,古典仙侠,带着修改器去修仙,17312,少琅,2014-08-20 07:03,No Level,http://www.qidian.com/Book/3237070.aspx,公众作品,88827,86649,34195,3967,3967,3967,326562
45,传统武侠,风云二师兄,17245,涂海发,2014-08-20 02:15,No Level,http://www.qidian.com/Book/3222623.aspx,公众作品,250521,162552,39177,6437,6437,6437,215331
46,都市生活,宅在随身空间,17056,明渐,2014-08-20 11:31,No Level,http://www.qidian.com/Book/3200693.aspx,公众作品,173504,133501,18023,7805,7805,7805,323438
47,两宋元明,大明土豪,16923,晨风天堂,2014-08-20 11:07, 作家等级：LV3 ,http://www.qidian.com/Book/3233785.aspx,公众作品,109948,86517,10777,8340,8340,8340,223184
48,两宋元明,大明官,16702,随轻风去,2014-08-19 23:53, 作家等级：LV5 ,http://www.qidian.com/Book/2708704.aspx,         VIP作品 ,2718073,53230,7394,356423,356423,356423,1489959
49,娱乐明星,我在韩国当房东,16537, 胡Tong ,2014-08-20 16:53, 作家等级：LV1 ,http://www.qidian.com/Book/3193626.aspx,公众作品,179069,111800,31191,3576,3576,3576,255512
50,都市生活,重生之大收藏系统,16435,月华炎,2014-08-20 17:59,No Level,http://www.qidian.com/Book/3207884.aspx,公众作品,179165,129750,40733,2982,2982,2982,306123
51,古典仙侠,莽荒纪,15983,我吃西红柿,2014-08-20 13:44, 作家等级：LV7 ,http://www.qidian.com/Book/2502372.aspx,         VIP作品 ,57541561,565248,77199,4418172,4418172,4418172,3303584
52,异术超能,都市小片警,15658,钟离轩,2014-08-20 17:25,No Level,http://www.qidian.com/Book/3242982.aspx,公众作品,68219,66593,20274,1944,1944,1944,204918
53,东方玄幻,武噬巅峰,15407,梦入天城,2014-08-19 22:00,No Level,http://www.qidian.com/Book/3196062.aspx,公众作品,104311,79934,35884,2853,2853,2853,304316
54,两晋隋唐,大唐天子,15370,殷扬,2014-08-20 14:01, 作家等级：LV3 ,http://www.qidian.com/Book/3227181.aspx,公众作品,185187,148612,24698,4682,4682,4682,271692
55,异术超能,我的超能力列表,14904, 虫2 ,2014-08-19 23:30, 作家等级：LV3 ,http://www.qidian.com/Book/3144783.aspx,         VIP作品 ,673331,142345,65475,31952,31952,31952,1130153
56,东方玄幻,傲世武皇,14881,曾经拥有的方向感,2014-08-20 17:33, 作家等级：LV4 ,http://www.qidian.com/Book/3259003.aspx,公众作品,19229,19229,16163,4724,4724,4724,69978
57,时空穿梭,位面入侵游戏,14511,悲伤之人的绝唱,2014-08-19 21:26, 作家等级：LV1 ,http://www.qidian.com/Book/3199370.aspx,公众作品,205153,104551,14953,12011,12011,12011,233485
58,时空穿梭,穿越者事务所,14436,路过的穿越者,2014-08-19 11:12, 作家等级：LV2 ,http://www.qidian.com/Book/3215393.aspx,公众作品,145903,82853,10563,15480,15480,15480,276989
59,传统武侠,我叫丁春秋,14356,巨龙的时空,2014-08-20 12:41,No Level,http://www.qidian.com/Book/3220211.aspx,公众作品,183373,116163,34057,3044,3044,3044,253591
60,乡土小说,我的酒谷庄园,14235,国爵,2014-08-20 16:02,No Level,http://www.qidian.com/Book/3209296.aspx,公众作品,169068,114307,12638,5091,5091,5091,315370
61,虚拟网游,超神猎人,14099,不是浮云,2014-08-20 13:28, 作家等级：LV3 ,http://www.qidian.com/Book/3241359.aspx,公众作品,57249,55262,18868,5948,5948,5948,149210
62,异术超能,重生之我要做恶魔,13951,节操炒鸡蛋,2014-08-20 08:49,No Level,http://www.qidian.com/Book/3233547.aspx,公众作品,111689,61969,18313,17454,17454,17454,170465
63,奇幻修真,造化升仙,13944,之宸,2014-08-20 07:23,No Level,http://www.qidian.com/Book/3259381.aspx,公众作品,46288,46288,35367,3349,3349,3349,33820
64,异界大陆,不灭金丹,13671,诸生浮屠,2014-08-19 22:10, 作家等级：LV3 ,http://www.qidian.com/Book/3179973.aspx,公众作品,358038,294412,23158,49151,49151,49151,204003
65,时空穿梭,光明之子的超人,13498, 风火01 ,2014-08-20 14:07,No Level,http://www.qidian.com/Book/3253340.aspx,公众作品,41930,41930,15061,2072,2072,2072,132624
66,异界大陆,魂锁典狱长,13247,寡人未婚,2014-08-20 00:07, 作家等级：LV2 ,http://www.qidian.com/Book/3211750.aspx,公众作品,108338,69821,27382,5067,5067,5067,262784
67,东方玄幻,帝霸,13246,厌笔萧生,2014-08-20 16:40,No Level,http://www.qidian.com/Book/3258971.aspx,公众作品,30216,30216,18601,5889,5889,5889,86493
68,东方玄幻,祖树,13152,周星,2014-08-20 13:48, 作家等级：LV2 ,http://www.qidian.com/Book/3253603.aspx,公众作品,26637,26637,15267,4156,4156,4156,90573
69,末世危机,末世之最强妹妹,13078,国际精神,2014-08-20 18:07, 作家等级：LV2 ,http://www.qidian.com/Book/3228430.aspx,公众作品,103608,69959,19640,10410,10410,10410,254489
70,足球运动,国足救世主,12991,那年那兔,2014-08-20 17:46, 作家等级：LV2 ,http://www.qidian.com/Book/3233575.aspx,公众作品,52833,42076,13746,7557,7557,7557,235799
71,校园异能,我的女友是仙子,12988,先飞看刀,2014-08-20 16:53, 作家等级：LV2 ,http://www.qidian.com/Book/3218572.aspx,公众作品,75529,31983,4017,32935,32935,32935,281052
72,虚拟网游,神级矿工帽,12982,夏夜如瞳,2014-08-20 00:04,No Level,http://www.qidian.com/Book/3237478.aspx,公众作品,75134,71186,19479,2311,2311,2311,181374
73,两宋元明,锦衣笑傲行,12939,普祥真人,2014-08-20 14:01,No Level,http://www.qidian.com/Book/3231959.aspx,公众作品,65292,57422,17230,8646,8646,8646,231110
74,虚拟网游,大蜀山,12932,凤谛,2014-08-20 07:39, 作家等级：LV1 ,http://www.qidian.com/Book/3044996.aspx,公众作品,160577,67421,23629,9813,9813,9813,462407
75,异界大陆,大主宰,12632,天蚕土豆,2014-08-19 23:15, 作家等级：LV7 ,http://www.qidian.com/Book/2750457.aspx,,,,,,,,
76,星际战争,蜂窝网络与无人机战争,12460,三座大山,2014-08-20 13:10,No Level,http://www.qidian.com/Book/3160390.aspx,公众作品,122401,28098,4621,62040,62040,62040,488344
77,动漫同人,幻想乡玩家,12435, 才不是H萝莉 ,2014-08-19 21:33, 作家等级：LV1 ,http://www.qidian.com/Book/2539510.aspx,公众作品,2062518,39997,9006,205055,205055,205055,1167153
78,领主贵族,永夜王权,12202,白夜无敌,2014-08-20 15:44,No Level,http://www.qidian.com/Book/3224805.aspx,公众作品,63445,48922,14891,3242,3242,3242,231418
79,两宋元明,平凡的明穿日子,11893,宁小钗,2014-08-20 16:19,No Level,http://www.qidian.com/Book/3034293.aspx,         VIP作品 ,666988,46378,35665,36466,36466,36466,1792747
80,东方玄幻,超级气运光环系统,11813,肥鱼很肥,2014-08-19 22:44, 作家等级：LV2 ,http://www.qidian.com/Book/3183310.aspx,公众作品,158820,74021,30981,5431,5431,5431,285467
81,奇幻修真,元素变,11782,紫气赐福,2014-08-20 00:14,No Level,http://www.qidian.com/Book/3252867.aspx,公众作品,42419,42419,29007,3439,3439,3439,107295
82,东方玄幻,乐尊,11779,鬼谷仙师,2014-08-20 12:21, 作家等级：LV3 ,http://www.qidian.com/Book/3211550.aspx,公众作品,197880,129185,15766,5956,5956,5956,286755
83,时空穿梭,无限气运掠夺,11255,月影孤城,2014-08-20 07:40,No Level,http://www.qidian.com/Book/3200373.aspx,公众作品,374480,111974,8726,10134,10134,10134,213965
84,时空穿梭,最强王者的动漫旅程,11143,香水柠萌,2014-08-20 18:48,No Level,http://www.qidian.com/Book/3243424.aspx,公众作品,62516,59879,12519,6428,6428,6428,185280
85,游戏异界,魔兽世界之吉尔尼斯王子,11095,交收,2014-08-20 15:11,No Level,http://www.qidian.com/Book/3236340.aspx,公众作品,82405,74194,8730,5959,5959,5959,163521
86,奇幻修真,裂天神尊,11090,醉死梦生,2014-08-20 14:00, 作家等级：LV2 ,http://www.qidian.com/Book/3250122.aspx,公众作品,11325,11320,11162,3341,3341,3341,113290
87,动漫同人,真理天文,11039,仙之琉璃,2014-08-20 01:43,No Level,http://www.qidian.com/Book/2629186.aspx,公众作品,1310133,46252,6296,82743,82743,82743,1727218
88,架空历史,盗鬼经卷,10896,丞相皮蛋,2014-08-18 20:18,No Level,http://www.qidian.com/Book/3098118.aspx,公众作品,125043,81615,23132,10725,10725,10725,552341
89,东方玄幻,炼金术士,10831,离狂,2014-08-20 18:41,No Level,http://www.qidian.com/Book/3233842.aspx,公众作品,54334,48602,13447,2837,2837,2837,185401
